temp	massa	peso	pressao	elasticidade	visc_dinamica	visc_cinemativa
0	101,9	999,9	62	2,08	1,83	1,79
5	101,9	1000	89	2,1	1,55	1,52
10	101,9	999	129	2,15	1,33	1,31
15	101,8	999,7	174	2,18	1,16	1,14
20	101,8	999,1	238	2,24	1,03	1,01
25	101,6	998,2	323	2,26	0,91	0,9
30	101,5	997,1	432	2,27	0,82	0,8
35	101,3	995,7	573	2,28	0,74	0,73
40	101,1	994,1	752	2,31	0,67	0,66
45	100,9	992,2	977	2,33	0,61	0,61
50	100,7	988,1	1257	2,34	0,56	0,56
55	100,5	985,7	1605	2,35	0,52	0,51
60	100,2	983,2	2031	2,32	0,48	0,48
65	100	980,6	2550	2,3	0,44	0,44
70	99,7	977,8	3177	2,29	0,42	0,42
75	99,4	974,9	3931	2,27	0,39	0,39
80	99,1	971,8	4829	2,27	0,36	0,37
85	98,7	968,6	5894	2,21	0,34	0,35
90	98,4	965,3	7149	2,2	0,32	0,33
95	98,1	961,9	8619	2,15	0,31	0,31
100	97,7	958,4	10332	2,11	0,29	0,3
