funcionario	civil	instrucao	filhos 	salario	ano	mes	regiao

1	1	1	NA	4	26	3	1

2	2	1	1	4.56	32	10	2

3	2	1	2	5.25	36	5	2

4	1	2	NA	5.73	20	10	3

5	1	1	NA	6.26	40	7	3

6	2	1	0	6.66	28	0	1

7	1	1	NA	6.86	41	0	1

8	1	1	NA	7.39	43	4	2

9	2	2	1	7.59	34	10	2

10	1	2	NA	7.44	23	6	3

11	2	2	2	8.12	33	6	1

12	1	1	NA	8.46	27	11	2

13	1	2	NA	8.74	37	5	3

14	2	1	3	8.95	44	2	3

15	2	2	0	9.13	30	5	1

16	1	2	NA	9.35	38	8	3

17	2	2	1	9.77	31	7	2

18	2	1	2	9.8	39	7	3

19	1	3	NA	10.53	25	8	1

20	1	2	NA	10.76	37	4	1

21	2	2	1	11.06	30	9	3

22	1	2	NA	11.59	34	2	2

23	1	1	NA	12	41	0	3

24	2	3	0	12.79	26	1	3

25	2	2	2	13.23	32	5	1

26	2	2	2	13.6	35	0	3

27	1	1	NA	13.85	46	7	3

28	2	2	0	14.69	29	8	1

29	2	2	5	14.71	40	6	1

30	2	2	2	15.99	35	10	2

31	1	3	NA	16.22	31	5	3

32	2	2	1	16.61	36	4	1

33	2	3	3	17.26	43	7	2

34	1	3	NA	18.75	33	7	2

35	2	2	2	19.4	48	11	2

36	2	3	3	23.3	42	2	1
